Name,CBO,NOC,WMC,RFC,NPRM,NPROM,NPM,LOC,DIT,LCOM,Changes
org.apache.tapestry5.corelib.components.PropertyEditor.SetupEnvironment,3,0,3,15,0,0,3,18,0,50,No
org.apache.tapestry5.corelib.components.PropertyEditorTest,12,0,1,287,0,0,1,40,5,0,No
org.apache.tapestry5.corelib.components.Radio,15,0,8,20,0,0,5,69,0,86,No
org.apache.tapestry5.corelib.components.RadioGroup,21,0,11,23,2,0,5,141,0,84,No
org.apache.tapestry5.corelib.components.RadioGroup.Setup,3,0,3,15,0,0,2,17,0,50,No
org.apache.tapestry5.corelib.components.RemoveRowLink,5,0,2,14,0,0,0,19,0,50,No
org.apache.tapestry5.corelib.components.RenderObject,5,0,1,13,0,0,0,13,0,0,No
org.apache.tapestry5.corelib.components.Select,43,0,22,52,5,2,1,276,1,91,No
org.apache.tapestry5.corelib.components.Select.Renderer,5,0,2,21,0,1,1,12,1,0,No
org.apache.tapestry5.corelib.components.SelectTest,37,0,20,367,3,0,17,334,6,0,No
org.apache.tapestry5.corelib.components.Submit,24,0,7,19,1,0,2,117,0,82,No
org.apache.tapestry5.corelib.components.Submit.ProcessSubmission,2,0,2,14,0,0,2,13,0,0,No
org.apache.tapestry5.corelib.components.SubmitNotifier,7,0,3,15,1,0,0,36,0,50,No
org.apache.tapestry5.corelib.components.SubmitNotifier.TriggerEvent,3,0,3,15,0,0,3,17,0,0,No
org.apache.tapestry5.corelib.components.SubmitTest,14,0,5,352,0,0,5,87,6,0,No
org.apache.tapestry5.corelib.components.TextArea,3,0,2,41,0,1,0,20,2,0,No
org.apache.tapestry5.corelib.components.TextField,5,1,2,41,0,1,0,20,2,50,No
org.apache.tapestry5.corelib.components.TextOutput,6,0,2,14,0,0,0,23,0,50,No
org.apache.tapestry5.corelib.components.TextOutputTest,4,0,2,349,0,0,2,24,6,0,No
org.apache.tapestry5.corelib.components.Tree,24,0,14,26,1,0,8,229,0,91,No
org.apache.tapestry5.corelib.components.Tree.RenderNodes,7,0,2,14,0,0,2,21,0,0,No
org.apache.tapestry5.corelib.components.Trigger,7,0,2,14,0,0,0,17,0,25,No
org.apache.tapestry5.corelib.components.Unless,1,0,1,17,0,1,0,9,1,0,No
org.apache.tapestry5.corelib.components.Zone,26,0,6,18,0,0,2,122,0,76,No
org.apache.tapestry5.corelib.internal.ComponentActionSink,7,0,6,18,1,0,5,47,0,66,No
org.apache.tapestry5.corelib.internal.FormSupportAdapter,4,2,12,24,0,0,12,52,0,0,No
org.apache.tapestry5.corelib.internal.FormSupportImpl,12,0,16,28,0,0,16,92,0,85,No
org.apache.tapestry5.corelib.internal.FormSupportImplTest,7,0,7,354,0,0,7,89,6,0,No
org.apache.tapestry5.corelib.internal.HiddenFieldPositioner,8,0,3,15,0,0,3,49,0,38,No
org.apache.tapestry5.corelib.mixins.Autocomplete,25,0,4,16,0,0,0,70,0,77,Yes
org.apache.tapestry5.corelib.mixins.Confirm,4,0,1,13,0,0,0,12,0,0,No
org.apache.tapestry5.corelib.mixins.DiscardBody,0,0,1,13,0,0,0,7,0,0,No
org.apache.tapestry5.corelib.mixins.FormFieldFocus,11,0,1,13,0,0,0,17,0,25,No
org.apache.tapestry5.corelib.mixins.FormGroup,12,0,3,15,0,0,0,49,0,54,No
org.apache.tapestry5.corelib.mixins.NotEmpty,2,0,2,14,0,0,0,16,0,0,No
org.apache.tapestry5.corelib.mixins.OverrideFieldFocus,8,0,1,13,0,0,0,15,0,0,No
org.apache.tapestry5.corelib.mixins.RenderClientId,3,0,1,13,0,0,0,10,0,0,No
org.apache.tapestry5.corelib.mixins.RenderDisabled,3,0,1,13,0,0,0,10,0,0,No
org.apache.tapestry5.corelib.mixins.RenderInformals,3,0,1,13,0,0,0,9,0,0,No
org.apache.tapestry5.corelib.mixins.RenderNotification,5,0,3,15,1,0,0,18,0,66,No
org.apache.tapestry5.corelib.mixins.TriggerFragment,10,0,1,13,0,0,0,23,0,0,No
org.apache.tapestry5.corelib.mixins.ZoneRefresh,14,0,3,15,0,0,0,35,0,26,No
org.apache.tapestry5.corelib.pages.ComponentLibraries,24,0,20,32,6,0,13,235,0,89,No
org.apache.tapestry5.corelib.pages.ExceptionReport,27,0,13,27,0,0,11,148,1,92,No
org.apache.tapestry5.corelib.pages.ExceptionReport.ThreadInfo,3,0,2,14,0,0,2,18,0,40,No
org.apache.tapestry5.corelib.pages.HibernateStatistics,6,0,6,18,0,0,6,41,0,83,No
org.apache.tapestry5.corelib.pages.PageCatalog,30,0,9,21,0,0,4,187,0,83,No
org.apache.tapestry5.corelib.pages.PageCatalog.PageLoadData,1,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.corelib.pages.PropertyDisplayBlocks,11,0,5,17,0,0,5,38,0,60,No
org.apache.tapestry5.corelib.pages.PropertyEditBlocks,18,0,14,26,0,0,14,108,0,81,No
org.apache.tapestry5.corelib.pages.ServiceStatus,12,0,2,14,0,0,1,31,0,91,No
org.apache.tapestry5.corelib.pages.T5Dashboard,7,0,5,19,0,0,2,38,1,68,No
org.apache.tapestry5.CSSClassConstants,1,0,0,12,0,0,0,6,0,0,No
org.apache.tapestry5.dom.AbstractMarkupModel,2,3,4,16,0,1,3,89,0,25,No
org.apache.tapestry5.dom.CData,7,0,2,28,0,0,1,22,1,0,No
org.apache.tapestry5.dom.Comment,6,0,2,28,0,0,0,16,1,0,No
org.apache.tapestry5.dom.DefaultMarkupModel,4,0,4,20,0,0,4,21,1,75,No
org.apache.tapestry5.dom.Document,16,0,22,48,1,1,19,144,1,88,No
org.apache.tapestry5.dom.DOMTest,21,0,57,404,2,0,55,624,6,0,No
org.apache.tapestry5.dom.DTD,2,0,2,14,0,0,2,32,0,0,No
org.apache.tapestry5.dom.Element,29,0,50,76,7,1,30,585,1,92,No
org.apache.tapestry5.dom.Html5MarkupModel,4,0,4,20,0,0,4,22,1,75,No
org.apache.tapestry5.dom.MapHolder,4,0,6,18,0,0,0,33,0,66,No
org.apache.tapestry5.dom.Node,8,8,14,26,1,2,10,86,0,71,No
org.apache.tapestry5.dom.Raw,6,0,2,28,0,0,0,14,1,0,No
org.apache.tapestry5.dom.Text,9,0,5,31,0,0,2,28,1,19,No
org.apache.tapestry5.dom.XMLMarkupModel,2,0,4,20,0,0,4,19,1,0,No
org.apache.tapestry5.EventConstants,1,0,0,12,0,0,0,29,0,0,No
org.apache.tapestry5.func.AbstractFlow,29,3,28,40,0,2,26,228,0,0,No
org.apache.tapestry5.func.ArrayFlow,14,0,19,59,1,1,13,139,1,59,No
org.apache.tapestry5.func.BaseFuncTest,8,9,3,15,0,3,0,40,1,100,No
org.apache.tapestry5.func.EmptyFlow,11,0,19,59,0,0,19,99,1,0,No
